pathway	N367M	N515M	TD181207731	TD181207732	TD181207733	TD181207736	TD181207739	X010M	X254	X275	X283	X294	X314	X321	X341	X353	X360	X361	X385	X391	X392	X431	D22BD538_461	D22BD540_524	D22BD542_455	D22BD543_285	D22BD546_302	D22BD547_260	D22BD548_308	D22BD550_238	D22BD552_244	D22BD554_316	D22BD555_248	D22BH739_268	D22BH741_298	D22BH742_330	D22BH744_370	D22BH746_377	D22BH747_383	D22BH748_389	D22BH750_427	D22BH752_439_2	D22BH753_454_1	D22BH757_476	D22BH759_488	D22BH760_493	D22BH761_494	D22BH762_497	D22BH763_505	D22BH766_533	D22BD536_469	CRS403	CRS440	CRS511	CRS513	CRS514	CRS517	CRS532	CRS534	CRS539	CRS540	CRS548	CRS549	CRS550	CRS552	CRS553	CRS555	CRS556	CRS557	CRS559	CRS560	CRS568	CRS573	CRS579	CRS584	CRS592	CRS606	CRS608	CRS612	CRS618	CRS619	CRS626	CRS629	CRS631	CRS636	CRS652
Leukocyte transendothelial migration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Limonene degradation	1777.16	31077.58	20873.52	54142.02	48661.52	14663.41	3951.82	16593.35	43738.39	46553.6	39152.94	85047.36	54207.23	58410.41	72868.51	10940.4	54693.27	19356.29	39662.17	50678.51	18450.82	29253.84	1152.5	7138.73	15713.17	18641.43	1065.67	27348.5	99779.75	5176	19646.42	18012.79	16504	9219.08	8946.8	11647.16	9245.5	14490.89	28094.64	13817.83	3269.26	15451.31	6698.5	3826.76	3780.63	6102.11	12469.72	6197.47	8788.52	4161.57	476.97	162708.5	6497.09	8834.65	33009.5	80612.08	3108.58	10602.67	1285.23	6096.67	19322.5	3306.72	8052.17	2424.37	12805.04	7694.99	11953.33	3024.66	4253.99	3549.92	2287.54	12943.01	9311	12794.42	775.33	7857.27	12199.35	21653	23361.18	2563.67	3351.33	1651.67	5368.01	3627.25	2584.51	103028.33
Linoleic acid metabolism	1529.25	8296.87	2333.48	11925.26	15017.28	2818.73	2072.42	2421.8	8764.13	13225.78	9327.34	14920.77	12410.26	12595.92	5232.47	2683.93	11586.5	5217.1	10660.3	9415.29	8077.22	10967.33	526.25	1874.44	41.75	907.25	82	1529.39	682.08	49	4921.25	439	101	404.32	294.24	327.31	737.25	2520.75	257.45	154.33	331.88	393.59	102.38	439.95	803.67	1836.02	1655.61	415	379.42	263.9	36.3	80389.34	216.67	995.78	372.68	322.85	286.62	349.25	421.33	287.92	1926.02	113.26	392.09	216.83	259.77	675.86	976.41	502.57	165.93	420.5	243.34	1116.08	399.42	2669.89	197.49	3172.42	190.16	219.59	272.01	2041.58	2642	625.38	13180.8	63.17	187.34	413.1
Lipid and atherosclerosis	25648.37	50109.1	37582.69	80030.02	92407.49	24549.4	9665.92	34581.46	53348.44	65691.19	48853.51	93090.14	55828.7	82516.94	81280.65	18726.55	80707.91	38237.22	61552.03	66790.58	49945.51	47479.01	13026.22	22833.32	16291.84	30250.58	14388.06	27184.77	46191.41	2904.58	15373.27	48056.56	14351.33	16843.45	18472.66	15610.17	14031.2	21110.07	28544.61	29808.82	9613.85	23658.26	12327.59	6326.17	8405.27	10538.41	24051.74	11321.65	13178.42	10717.25	575.13	164496.84	17182.27	15988.52	39058.41	47915.92	38155.18	8804.08	4066.32	4256.74	30042.9	5037.72	15627.78	78357.3	28497.06	73795.06	14442.95	9921.69	3471.82	10772.39	51381.9	23410.07	6879.92	19777.71	14920.52	8438.64	25351.08	18463.81	37440.58	9247.25	5938.99	8984.03	27999.46	3586.64	1915.67	36823.89
Lipid biosynthesis proteins	161116.04	434106.94	376106.97	506541.06	492886.2	278528.4	277818.27	396092.73	361076.14	447789.42	325282.99	564116.92	389397.61	498559.56	489769.96	256677.89	473532.33	284600.97	445000.68	482985.83	412999.64	328401.36	72151.45	128241.28	142140.71	169901.79	76063.99	161982.3	271058.64	75086.87	115133.6	261758.36	92852.32	89990.95	106489.39	89698.3	89739.21	138202.23	315437.57	301639.95	55070.83	167742.27	97125.83	41154.33	55502.03	76061.69	152332.31	75480.5	72157.04	63774.2	8184.01	2194536.2	87756.77	95113.94	394724.84	280218.72	414628.02	56694.52	25758.21	31028.8	208429.29	28847.46	128623.5	778524.44	300404.09	476186.47	115593.72	82614.26	20699.11	64700.22	510166.53	194269.16	49419.32	114879.86	81199.07	93263.95	145999.61	106426.69	340807.41	75354.39	33033.78	101152.09	216925.27	21085.91	10906.23	226872.16
Lipoarabinomannan (LAM) biosynthesis	321	7980.83	22747.16	35547.4	13665.32	15295.53	1314	8786	33090.54	19329.99	32913.22	36551.51	21651.5	22901.16	27555.5	6107	12200.5	64463	14462.44	44735.34	45584.51	11321.96	74837.95	58192.56	57987.54	92044.93	3.96	61748.8	32393	3084.63	1617.5	134723.27	28360.97	43740.33	50934.07	37399.04	34580.26	20673.96	198781.5	201383.67	38156.71	53238.57	68991.46	18188.19	28974.47	20092.68	68674.66	29298.94	42207.63	26815.45	4058.19	10314.59	83522.09	73733.89	251338.42	117895.56	15429.41	15770	17411.37	5794.89	109613.59	20960.32	93438.54	5097.13	167016.24	628.02	36406.53	10380.29	5205.45	46648.38	2596.76	156530.88	4998.83	18774.69	88237.48	6697.8	126759.79	63386.16	250964.79	56738.13	1766.96	1170.35	69906.11	12110.29	776.47	4302.27
Lipoic acid metabolism	30533.6	130858.03	52939.06	260138.92	213747.22	75287	37906.35	67245.2	238153.28	201525.95	165895.13	288271.84	180038.13	286327.66	180699.52	45208.74	284244.07	122865.41	191537.17	240453.83	170116.38	158738.6	56998.73	132825.56	111751.29	177075.62	15250.92	171277.7	288509.12	18194.14	77192.57	321612.32	90863.64	92771.18	111931.15	96910.93	80527.94	81315.12	215052.87	220737.46	44241.56	147542.32	73224.47	26437.43	42930.04	43398.47	105391.15	72673.81	72244.01	66262.28	4695.78	577650.88	62105.38	72001.19	275958.97	271873.31	157723.69	50558.56	18030.45	20792.04	137244.65	23471.65	91642.07	11956.42	203768.23	72130.6	72275.33	24902.98	14551.48	45006.7	9696.81	137024.34	29948.19	64655.89	61151.58	31160.88	118007.89	96189.93	235699.9	46060.58	21494.46	56406.85	106410.84	16924.83	6471.54	247701.9
Lipopolysaccharide biosynthesis	264602.58	364172.24	256286.86	475419.33	327047.73	280930.81	88974.72	127704.28	327181.62	388241.92	241362.45	446674.15	260315.63	510040.37	145650.79	103840.76	511356.65	166891.35	352351.22	372504.31	329210.9	268415.29	1062.5	39150.29	1614.75	18271.3	122102.66	14847.61	22506.63	142065	36580.05	9572.72	558	14820.07	11494.02	11159.98	19831.7	85308.83	9809.43	4000.3	11576.99	8488.35	1783.31	15318.79	11300.47	43822.08	63910.07	20059.19	7721.62	15545.37	1030.15	1613741.1	4009.44	10435.66	5889.58	8003.48	707618.83	11180.49	6391.45	8634.82	59088.49	1742.51	4273.03	5441.07	5696.29	601429.31	42083.92	29467.11	7596.07	17255.84	6994.81	3929.19	10740.48	80674	1521.76	65032.53	3900.96	4739.89	13976.91	1807.51	36220.83	115696.66	202902.67	1439.12	5871.88	10366.5
Lipopolysaccharide biosynthesis proteins	275650.13	368108.74	280380.34	467151.3	337841.34	259277.06	85219.39	174899.86	323279.59	393886.8	242343.02	447942.17	260835.11	529384.04	143614.59	117065.43	528862.78	165459.47	361599.66	397870.11	346033.98	271256.5	1074.25	38672.44	1745	18746.99	149685.41	16267.67	24347.71	140926	36327.89	9287.74	2406	15662.22	10836.96	10620.66	19374.35	84287.44	9479.81	4846.31	11121.64	8347.6	1885.83	14992.48	11555.3	43197.16	63253.26	22056.61	7506.54	13962.09	920.42	1855593.25	7306.26	11722.7	7379.14	10691.62	536989.34	13411.04	6411.63	10981.41	62613.03	2356.82	5500.54	234210.56	7349.75	683269.41	50865.03	43068.35	8536.04	19273.46	155737.13	4723.96	17142.22	87223.08	2178.82	73968.59	5157.91	6055.8	13658.03	2706.78	34340.49	143247.48	161515.92	2067.29	6251.21	12839.06
Long-term depression	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Long-term potentiation	0	12	0	21	0	0	0	0	144	117	10	2	39	0	3	0	18	0	25	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Longevity regulating pathway	49027.74	75189.36	71241.92	105525.24	103975.58	45004.8	10775.84	58665.92	77344.68	91328.56	61453.06	102373.5	60675.68	104878.4	70311.3	33194.28	101407.82	51550.74	87224.04	91156.16	85266.88	64963.34	25909.94	45407.96	32537.68	58571.98	28492.12	53749.86	90236.82	5663.16	30574.54	95546.14	28686.66	31420.72	35566.32	30346.34	26599.9	30021.62	55834.22	59239.64	18259.7	46230.52	24553.18	10858.34	15204.54	16680	39368.48	22097.3	25612.84	20770.5	1094.06	168203.68	33925.54	30159.04	77700.82	95269.84	75381.36	16505.16	7407.08	7989.48	46277.8	9827.42	30953.56	156256.6	56683.72	145670.12	28233.9	19343.38	5169.64	19911.78	102371.8	46200.14	12806.34	29504.42	29760.04	9909.6	50511.48	36595.62	74677.16	18392.5	6445.98	17200.06	54952.92	7027.28	2355.34	73021.78
Longevity regulating pathway - multiple species	76121.31	149658.35	94228.4	198125.67	198253.21	90646.97	27668.79	98192.92	139526.52	166990.56	116356.21	212286.9	125278.63	195970.66	135255.95	60039.55	188052.99	105351.99	161489.59	177964.98	140835.34	116194.42	39480.16	68881.37	40931.94	88651.39	43703.6	82772.36	136773.23	18443.74	46676.23	145766.87	42739.32	49586.96	56679.03	46908.67	43842.35	55343.63	80203.97	99720.29	29273.31	58762.75	34761.27	18832.1	25581.11	29118.21	69519.4	34698.42	40045.36	32982.49	2394.55	252341.15	51383.41	46749.71	109411.4	143045	113880.29	24893.74	12352.61	11767.97	75420.61	15056.18	45266.26	158365.4	90894.67	210702.36	42359.6	25782.31	8782.04	30752.42	104460.37	70765.54	18328.43	47451.23	45158.64	15433.49	75237.89	54933.43	109723.43	30562.09	9929.47	25787.27	82569.43	10911.59	4187.68	109205.25
Longevity regulating pathway - worm	73541.61	112784.04	106862.88	158353.86	156283.37	67507.2	16163.76	87998.88	116019.68	138268.84	92235.59	153560.25	91071.52	157317.6	105508.95	49791.42	152115.73	77338.11	130868.06	136750.74	127900.32	97453.01	38864.91	68111.94	48806.52	87857.97	42738.18	80624.79	135355.23	8494.74	45861.81	143319.21	43029.99	47147.08	53469.48	45519.51	39899.85	45160.43	83751.33	88859.46	27389.55	69345.78	36829.77	16287.51	22806.81	25020	59128.72	33145.95	38419.26	31155.75	1641.09	252305.52	50888.31	45238.56	116551.23	142904.76	113072.04	24757.74	11110.62	11984.22	69416.7	14741.13	46430.34	234384.9	85025.58	218505.18	42350.85	29015.07	7754.46	29867.67	153557.7	69300.21	19209.51	44256.63	44640.06	14864.4	75767.22	54893.43	112015.74	27588.75	9668.97	25800.09	82429.38	10540.92	3533.01	109532.67
Lysine biosynthesis	303886.46	753079.77	629253.78	763880.85	654576.42	595889.99	745716.1	720059.73	533531.55	638758.07	413559.71	714472.73	523978.08	708629.41	586393.41	487274.02	665029.76	444132.24	666819.14	757999.17	651339.92	443532.4	95787.63	271845.77	153269.81	339145	184875.24	336015.32	544434.23	104006.7	169038.47	648316.34	182298.95	191464.62	242717.58	203085.39	196001.46	246974.6	366250.95	399125.92	92096.38	205153.59	116151.14	66630.93	96992.14	115539.87	248901.63	156201.97	141017.44	152496.31	10427.89	1405514.97	116509.66	124462.5	446075.11	473639.14	531464.67	96665.79	35149.38	45861.02	258214.92	43025.25	151731.6	1011314.72	317936.05	879649.19	153079.87	121855.82	30203.56	89047.68	664633.77	237716.23	78295.69	156912.88	104026	72224.06	198944.21	166788.08	401328.14	84660.18	41287.11	96079.22	219151.06	33165.72	14396.56	436313.57
Lysine degradation	159127.11	142993.66	58336.23	167876.86	155426.52	74862.87	60965.53	66207.48	123021.06	146183.07	112576.35	219968.38	149676.97	156331.43	285406.3	50394.12	148929.48	89016.97	137294.41	148542.2	103636.55	99657.3	27634.99	49578.72	36992.35	66383.76	122289.29	75089.28	179562.63	91694.32	46629.02	81247.67	54243.99	32807.21	33694.67	34486.52	32428.69	51033.21	98383.15	91759.79	20686.02	35659.1	30433.58	16471.81	19956.49	26221.68	59019.24	24871.49	30161.76	19256.77	2030.31	652796.21	36171.16	41907.99	119313.78	177717.21	49743.19	33691.8	9283.89	13499.25	79759.35	12514	41105.36	7651.4	67251.97	404041.9	39700.59	14438.78	10885.36	24923.25	6710.28	70233.77	19587.12	53037.6	30778.61	31279.05	62719.33	59173.5	109796.05	24112.18	13207.65	11686.15	90901.57	10119.3	6736.69	179082.35
Lysosome	124011.01	166469.75	11539.55	133509.82	78933.59	143258.99	14314.13	52222.72	123850.9	145398.14	74119.11	115074.2	93288.34	112407.38	282791.16	56789.85	122870.19	54299.93	171234.17	86479.38	180817.66	99189.2	3056.5	57361.33	16313	57850.55	20020	49315	43546.5	642	11085	149483.32	15331.33	39982	49933.55	40090.77	32338	52823.63	11891.42	35121.23	9265.64	40707.14	6514.91	6323.8	13311.8	19446.01	35169.8	29694.83	19489.6	36667.42	498.27	4086.6	4055.01	2456.67	16609.19	2481.54	656804.5	4181.06	3204.98	2860	6534.52	2279.73	5992.52	3293.19	18940.85	298129.82	9718.14	27864.98	1060.52	4837	3482.06	2085	2064.75	26420.52	741.46	1595.02	2350.65	1558.5	18665.38	1481.98	799	1498.87	40399.13	1380.67	1267.7	1822.87
Malaria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPK signaling pathway	8515	105383.6	21190.5	150185.7	148113.9	69060.4	59192.5	116166.5	112823.8	111063.8	72358.9	85351.9	65056.4	163633.7	241238.5	70337.7	163514.4	43916.3	129270.9	140047.3	66428	110729.1	112.5	506.7	222.5	7956.7	854	1936.7	6975	482.5	485	2794.4	140	3739	4602.4	1860	7110	20945	2676.7	680	3394.7	885.3	253.8	3030	2780	11146.1	15618.6	4160	1200	2054	243	803990.6	1235	4185	1771.7	2598.4	3387.7	4081.7	1518.3	1815	23286.7	543.3	1441.7	1896.7	1808.3	10471.9	3193.3	2343.3	3840	3946.7	1381.7	1371.7	2262.5	19330	601.6	31421.7	723.3	1348.8	921.2	508.3	1760	3656.3	67891.5	460	1800	3226.8
MAPK signaling pathway - fly	24513.87	37594.68	35620.96	52762.62	51996.79	22502.4	5387.92	29332.96	38672.34	45664.28	30726.53	51186.75	30337.84	52439.2	35155.65	16597.14	50703.91	25775.37	43612.02	45578.08	42633.44	32481.67	12954.97	22703.98	16268.84	29285.99	14246.06	26874.93	45152.41	2831.58	15295.27	47773.07	14343.33	15710.36	17783.16	15173.17	13299.95	15010.81	27917.11	29619.82	9129.85	23115.26	12276.59	5429.17	7602.27	8340	19684.24	11048.65	12806.42	10385.25	547.03	84101.84	16962.77	15079.52	38850.41	47634.92	37690.68	8252.58	3703.54	3994.74	23138.9	4913.71	15476.78	78128.3	28341.86	72835.06	14116.95	9671.69	2584.82	9955.89	51185.9	23100.07	6403.17	14752.21	14880.02	4954.8	25255.74	18297.81	37338.58	9196.25	3222.99	8600.03	27476.46	3513.64	1177.67	36510.89
MAPK signaling pathway - plant	0	4	0	7	0	0	0	0	48	39	0	0	13	0	0	0	6	0	7	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPK signaling pathway - yeast	0	42	0	188	46	12	0	5	88	139	59	215.33	122.67	29	16	8	12	30	35	14	38	42.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Measles	1134.5	12504.92	1967.73	27646.73	40439.7	2052	4278	5256.5	14455.1	19807.91	18241.31	41961.39	25441.86	30155.74	46134	2134.41	30037	12465.85	17961.51	21260	7346.57	14884.84	71.25	129.34	23	964.59	142	309.84	1073	73	86	283.49	8	1133.09	689.5	437	731.25	6099.26	627.5	189	484	543	51	897	803	2198.41	4318.5	273	372	332	28.1	80395	219.5	909	208	281	464.5	551.5	362.78	262	6904	124.01	151	229	155.2	960	326	250	887	816.5	196	310	476.75	5025.5	40.5	3483.84	95.34	166	102	51	2716	384	523	73	738	313
Meiosis - yeast	827.5	16391.53	2744.79	28617.91	33528.61	4869.84	4249	4935.18	17299.08	22426.28	20421.31	54099.91	26486.97	29462.61	25196.85	3074.67	29210.36	20807.03	19309.63	24623.67	11328.27	11704.55	6247.01	1614.92	1121.67	4325.15	79.83	2774.17	1032.67	344	900.5	2184.81	1197.33	3276.67	2054.84	1469.67	2493.16	8066.17	432.5	12267.83	3671.17	3523.83	2850.83	2947.51	3103.5	3638.07	11642.5	1053.19	3368.33	1253.51	406.69	973.76	6900.18	6805.02	3604.33	9746.57	391.84	1268.17	1850.63	497.99	8652.48	1683.84	4127.49	482.62	15978.69	115.17	3167.67	1062.68	923.01	4387.17	359.16	7111.99	767.25	3980.68	7334.72	701.15	9863.83	5249.5	7554.68	5024	287.33	128.24	5786.68	959.15	654.5	380.16
Melanogenesis	0	40.17	0	236.34	130	3	0	11	51	175.87	54.66	84	209.33	494	81.5	14	520	46.67	224.27	299	118	34.8	2.25	16.67	1	25.92	0	19.67	0	0	0	0.83	0	5.75	52.5	0	3.25	25.25	0	0	0	0	3	5	0	17.5	18.5	0	0	0	6.89	29	41.75	209	0	0	95.25	0	11.5	29	252.5	24	13	37	3	8	0	10	171	129.75	17	40	23	779.75	0	158.25	0	21	0	0	58	45	16	14	93.5	0
Membrane trafficking	6824.34	43844.63	39388.48	62569.52	57987	42838.16	12049.38	50690.2	53692.67	54463.72	39167.49	63304.37	50149.52	60244.53	15730.86	32941.11	53198.7	30105.37	54163.47	72441.8	49757.73	42429.93	11409.66	88626.79	17408.84	96539.3	4526.24	85660.03	92028.5	18676.33	9905.87	235198.63	32791.66	60567.08	79815.59	60029.57	52852.01	55142.52	68955.7	78351.16	17817.43	32387.93	16934.17	10539.68	23329.37	21297.48	48413.05	44728.92	35465.5	50155.59	1812.6	85065.46	14880.38	11375.05	75909.94	40880.74	74183.77	11563.02	4889.01	4047.17	32949.49	6283.18	22836.82	78468.75	20459.47	34854.97	13753.39	10652.79	2697.75	8709.6	52065.64	38006.36	6913.41	18462.13	9317.55	5408.16	17665.35	14538.28	65336.75	13053.35	1399.65	1575.07	9999.54	4686.82	1235.51	36847.41
Messenger RNA biogenesis	320683.87	715287.48	462337.12	804429.17	711329.1	528500.22	562950.08	554331.95	573129.09	681588.91	440969.16	760127.49	564906.54	808590.36	754864.45	397334.48	764875.27	425183.06	676465.15	749571.81	587139.73	475567.15	90637.81	376349.61	198979.65	454653.39	195617.83	459212.5	803763.37	153292.63	218050.77	904960.86	229369.63	257965.75	326357.97	272607.83	237636.92	277825.69	330499.35	419109.02	102917.57	306103.31	117935.56	69457.64	109620.69	128773.58	261022.06	199998.53	181279.33	195227.84	11122.55	1806519.81	123998.15	126787.13	426371.33	614334.86	560391.51	114955.43	36667.96	53973.99	247429.83	48592.3	146456.23	483867.45	336458.55	850107.14	170255.51	97064.8	35704.23	81541.7	323592.63	211106.25	83614.02	171726.44	90472.79	88070.92	200933.35	198591.56	358513.44	87672.2	44689.77	140404.33	257644.01	41571.28	16424.74	641705.4
Metabolism of xenobiotics by cytochrome P450	2636.66	22838.16	36669.16	29176.38	29557.14	4233.6	26399.7	40098.54	31095.34	24474.5	23260.12	40356.06	24414.56	19511.22	166949.52	21279.46	17607.1	44310.66	26837.58	19906.78	31962.08	23220.41	12608.02	34759.59	12190.84	37769.14	2106.66	29564.34	18468.33	810	1560	77372.94	11556	20024.81	24727.52	20190.29	17147.82	19460.16	44925.33	26187.65	9665.09	15698.64	14196.42	4971.37	9018.01	8347.07	22264.32	14661.38	14445.01	16472.15	850.75	163499.46	14594.69	13928.38	54930.98	21934.67	4750.73	6501.32	3700.43	1982.99	28601.66	4481.66	19112.16	153269.23	34609.63	31182.32	8402.32	4054.86	2285.88	9643.52	99642.34	29965.65	5672.17	14563.37	15196.77	7891.31	22709	11895.02	52013.03	6692.01	1104.32	2222.23	26130.02	2519.97	1135	2633.69
Methane metabolism	188501.75	491762.6	329025.9	478270.84	407508.04	352337.39	447407.59	423268.67	323066.09	408937.75	258867.83	460798.99	353115.27	486419.35	326637.63	300290.4	467208.19	286777.43	415271.83	498209.1	384152.73	278712.46	58399.68	143381.06	79080.57	182174.94	88103.69	193772.57	369838.83	99815.64	99379.38	313706.92	104949.97	101015.93	129204.4	110430.6	115113.31	142159.65	129580.36	210933.07	54308.32	117656.06	54616.71	41273.77	55235.4	70219.3	146371.19	86657.26	80308.7	78049.18	8209.09	828345.99	75160.77	80333.66	174066.37	333815.84	436726.34	56993.28	21988.66	30100.74	142116.35	26857.8	72042.65	698116.2	207094.43	546831.09	106452.31	68170.14	19929.02	52168.96	458513.31	110200.96	53601.08	100082.98	64294.58	42978.46	124377.01	112906.64	168573.84	57754	27395.12	89447.56	150841.11	22727.04	8692.71	322934.55
MicroRNAs in cancer	204	2901.5	1261	2546.59	4385.5	1244.5	56	1837	2641.75	2848.5	2929.58	2660.25	2287.25	1527.5	686.17	942	524.5	5613	1756	3197.75	5437.51	2098.92	5692.51	1168.84	6060.17	4149.48	0.33	1862.33	219	242.33	93.75	1631.98	1553	1263.69	1236.34	871.67	944.41	313.83	22079	16927.5	2733.17	3793.66	6615.83	1322.35	1406	1134.65	4546.5	881.19	2280.33	404.51	401.04	879.66	6798.67	5784.35	26817.66	9948.57	1640.84	1120	1258.67	477.49	9962.98	1701.83	8795.24	380.95	16552.42	40.83	2915.33	919.18	476.26	3815.34	198.83	14240.99	414.5	1800.68	7345.22	416.15	10855.16	5353	25490.01	3121.5	165.83	58.74	5816.51	933.48	111.83	346.83
Mineral absorption	204	3117.5	1261	2988.58	4445.5	1259.5	56	1846	2734.75	3049.5	3083.57	2735.25	2401.25	7941.5	686.17	954	6527.5	5637	2608	7481.75	5863.51	2173.92	5687.01	1168.84	6060.17	4149.48	0.33	1862.33	219	242.33	93.75	1631.98	1553	1263.69	1236.34	871.67	944.41	313.83	22079	16927.5	2733.17	3793.66	6615.83	1322.35	1406	1134.65	4742.5	881.19	2280.33	404.51	401.04	879.66	6798.67	5784.35	26817.66	9948.57	1640.84	1120	1276.67	477.49	10256.98	1701.83	8795.24	395.95	16552.42	40.83	2969.33	919.18	476.26	3811.84	219.83	14240.99	414.5	1821.68	7345.22	416.15	10855.16	5380	25490.01	3121.5	165.83	58.74	5816.51	933.48	111.83	346.83
Mismatch repair	377110.72	749742.76	616631.3	758166.02	668219.87	557432.87	782134.11	756112.56	538952.15	644961.1	405845.17	662337.87	537368.87	751162.14	687083.48	534876.02	712009.23	425768.55	675436.78	749572.35	662974.75	443220.91	104752.6	249142.76	216819.76	317349.11	240082.95	335122.32	658561.85	195751.87	199922.13	532571.05	174676.62	172544.57	221267.4	183491.57	174123.8	211150.56	396927.74	399981.03	96400.28	279676.32	136233.02	66166.57	86387.29	110065.12	232244.76	140470.99	141227.46	123332.23	12190.27	1414553.93	153393.36	141480.28	509518.35	602223.95	603635.14	96726.63	38080.5	56525.83	257891.89	51503.2	171459.22	1166771.12	373375.23	1096207.27	194615.86	141017.55	35872.19	96435.86	768111.85	249951.48	93605.12	173888.08	120371.17	73493.1	237318.42	205166.12	444152.27	98079.05	48454.74	164046.87	285281.88	43167.82	13903.2	574720.36
Mitochondrial biogenesis	135474.34	224401.89	194022.78	270405.44	220749.38	192826.47	175123.34	214948.77	203850.64	231789.5	148272.81	249749.09	189003.88	270673.07	200249.87	152340.82	256483.46	142269.96	230764.24	258734.35	228870.91	156904.82	42192.31	98808.98	68938.53	130485.49	77422.96	126380.28	218890.56	41455.65	60662.19	234748.41	60596.65	71156.06	89960.73	74990.92	67512.45	79949.97	136357.63	157355.64	35824.19	94337.66	48430.13	23191.66	34522.8	39971.33	90306.89	54099.9	55004.2	52826.29	3752.55	496786.36	54215.84	53241.81	174966.42	200294.24	258457.67	32771.25	14496.58	17668.21	97261.5	18479.14	61719.41	312898.87	128587.18	374826.28	58841.91	43155.86	11769.4	35689.92	206021.85	93289.04	28850.19	61220.45	46833.71	26178.25	87069.97	70874.8	158721.86	36053.25	15633.47	30529.6	88609.85	14394.26	4761.35	179502.26
Mitophagy - yeast	0	14	0	0	0	0	0	0	0	0	0	20.33	3.67	0	0	0	0	0	0	0	0	1.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monobactam biosynthesis	104517.42	281581.2	219234.21	333764.63	295446.72	218443.45	219501.34	247803.79	247907.7	286289.5	194861.5	363291.24	249446.84	330581.24	318871.92	169462.58	315635.84	182335.87	280390.16	323737.32	257474.16	192474.64	55343.08	124809.93	68170.2	156010.39	61212.17	145945.11	224735.7	30840.56	67457.77	278574.3	73374.64	83473.6	105978.28	87668.31	82682.1	110021.7	156027.19	193766.11	45911.77	93606.99	56405.72	31430.65	44646.72	53809.58	119355.12	66078.8	66107.85	65185.99	4736.5	819879.27	61975.96	68024.65	198942.47	221318.95	193177.63	41434.13	18262.42	19553.96	126211.28	21622.31	74370.33	314838.37	167812.73	289388.65	67763.32	45405.24	14445.81	46500.83	206953.24	117277.4	31917.06	70387.63	61611.4	40122.72	107895.54	82559.98	188175.99	44725.81	14566.64	37468.4	133393.36	15904.17	6785.03	182144.37
Morphine addiction	13	56	930	959	309	1096	55	229	1621	721	306	567	266	176	277	283	29	3580	235	1619	2335	291	5638.51	1133.84	1100.17	4058.65	0.33	1862.33	12.17	165	33	1558.98	1071	1221.5	1181.34	871.67	883.66	2.83	67.5	173.83	2708.67	2235.82	2691.83	1235.35	1279.33	841.49	4219	342.19	2280.33	370.51	0	658.66	6359.5	5411.35	2691.49	9327.49	177.84	993	1118.17	341.49	4619.98	1441.33	3372.49	300.62	871.17	36.83	2221.67	702.51	376.01	3431.84	102.83	5518.99	323.5	996.85	6903.47	414.65	9436.16	4962	6455.84	2866.33	48.83	57.32	5517.34	856.98	33.33	287.83
Motor proteins	0	28	0	188	46	12	0	5	88	139	59	195	119	29	16	8	12	30	35	14	38	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
