pathway	N367M	N515M	TD181207731	TD181207732	TD181207733	TD181207736	TD181207739	X010M	X254	X275	X283	X294	X314	X321	X341	X353	X360	X361	X385	X391	X392	X431	D22BD538_461	D22BD540_524	D22BD542_455	D22BD543_285	D22BD546_302	D22BD547_260	D22BD548_308	D22BD550_238	D22BD552_244	D22BD554_316	D22BD555_248	D22BH739_268	D22BH741_298	D22BH742_330	D22BH744_370	D22BH746_377	D22BH747_383	D22BH748_389	D22BH750_427	D22BH752_439_2	D22BH753_454_1	D22BH757_476	D22BH759_488	D22BH760_493	D22BH761_494	D22BH762_497	D22BH763_505	D22BH766_533	D22BD536_469	CRS403	CRS440	CRS511	CRS513	CRS514	CRS517	CRS532	CRS534	CRS539	CRS540	CRS548	CRS549	CRS550	CRS552	CRS553	CRS555	CRS556	CRS557	CRS559	CRS560	CRS568	CRS573	CRS579	CRS584	CRS592	CRS606	CRS608	CRS612	CRS618	CRS619	CRS626	CRS629	CRS631	CRS636	CRS652
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	101014.85	182629.95	11759.65	150473.1	99631.9	179502.1	16788.7	58449.5	146291.2	177304.45	85722.25	127700.45	112081.7	133479.5	376410.25	66453.9	147133.75	64802.95	203767.7	102586.55	212708	120226.5	3770	70195	275	71951.25	8310	60595	51732.5	745	17950	187746.65	18560	49250.25	61966.25	48573.45	39400	61704.65	2937.7	40761.55	11249.4	20726.6	2395.35	7225	16497.5	23568.35	42248.45	36163.55	24300	44688.7	530.95	4929	1458.75	2840	1071.7	2468.4	860126.45	5023.4	3698.3	3105	7679.2	2416.7	2746.7	3676.7	1200.3	215898.3	13183.3	33717.3	1226.2	5219.6	3731.75	2430	2160	25945.45	586.6	1832.95	928.3	1612.5	14795.05	1113.3	955	1706.45	64359.1	1375	1647.55	1650.9
Glycosyltransferases	99538.23	263563.39	197005.89	316461.04	275263.7	168666.88	197569.71	229689.01	270672.33	259497.59	208509.74	336881.99	238550.98	283553.08	309129.49	162864.03	258402.65	264922.68	255954.47	299494.47	261561.2	181336.57	139910.34	187711.62	152722.66	267588.06	51017.89	240119.84	353496.11	72989.26	79694.34	433988.26	139721.27	134842.5	161176.9	133850.69	120901.05	122872.08	423502.74	454823.47	87737.39	165296.34	141938.64	50762.83	76732.48	72224.24	186452.84	102185.78	116361.52	91734.73	10122.22	594126.19	159653.15	157916.82	534912.28	431436.57	213456.5	74404.22	38376.96	30567.93	255627.99	47587.84	191345.57	398787.68	394680.2	268989.55	124556.07	57476.36	23175.83	97765	261805.73	315750.2	44968.79	94457.32	158719.11	40373.82	259384.25	173761.09	508220.17	118450.69	14024.59	45287.73	200661.3	32391.61	9013.46	290492.4
Glyoxylate and dicarboxylate metabolism	270970.9	496302.34	302318.47	671545.28	580378.03	368382.7	125556.64	265697.19	442083.41	531153.34	363596.46	719183.41	460333.11	593792.9	787011.88	188801.38	589672.73	271420.35	493868.47	533608.48	370118.38	369948.64	51198.95	274019.75	79467.79	321563.66	176666.55	321014.16	491454.94	49006.82	100003.33	696506.13	176101.95	195492.93	241915.23	199156.36	177863.21	226813.23	113122.19	232996.38	66778.96	165269.52	48886.39	51567.73	83933.51	97979.68	206610.47	150528.46	124467.99	153851.13	9309.46	1465685.61	53517.05	75384.61	147136.86	333612.56	405166.93	89713.87	23699.9	30559.34	174021.75	25493.49	62021.12	94238.22	137163.7	715349.01	88302.09	47173.99	24817.34	48285.07	67295.99	95485.05	46435.97	143402.44	42086.56	71700.39	97258.11	106231.61	129351.84	57121.09	30248.8	63997.75	140251.21	22210.43	15183.74	362171.69
GnRH signaling pathway	0	73.17	0	184.8	155	9	15	29	119	239.93	191	595	114.33	42	14.5	0	6	5.67	160.33	10	26	43	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	33	23	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Growth hormone synthesis, secretion and action"	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GTP-binding proteins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hepatitis B	1134.5	12486.42	1961.73	27218.4	40428.7	2047	4278	5248.5	14340.1	19753.91	18116.98	41903.39	25399.86	30077.74	46122	2129.41	29962	12461.85	17887.01	21212.5	7312.07	14839.34	71.25	129.34	23	964.59	142	309.84	1073	73	86	283.49	8	1133.09	689.5	437	731.25	6099.26	627.5	189	484	543	51	897	803	2198.41	4318.5	273	372	332	28.1	80395	219.5	909	208	281	464.5	551.5	362.78	262	6904	124.01	151	229	155.2	960	326	250	887	816.5	196	310	476.75	5025.5	40.5	3483.84	95.34	166	102	51	2716	384	523	73	738	313
Hepatitis C	1134.5	12474.92	1955.73	26790.07	40408.7	2042	4278	5240.5	14225.1	19699.91	17992.65	41845.39	25357.86	29999.74	46110	2124.41	29887	12462.85	17814.51	21165	7279.57	14793.84	71.25	129.34	23	964.59	142	309.84	1073	73	86	283.49	8	1133.09	689.5	437	731.25	6099.26	627.5	189	484	543	51	897	803	2198.41	4318.5	273	372	332	28.1	80395	219.5	909	208	281	464.5	551.5	362.78	262	6904	124.01	151	229	155.2	960	326	250	887	816.5	196	310	476.75	5025.5	40.5	3483.84	95.34	166	102	51	2716	384	523	73	738	313
Hepatocellular carcinoma	3202	15439.36	2351.4	10395.71	21438.24	1966.96	3017.34	4548.84	11982.81	17006.36	10234.7	11789.91	8063.97	8747.4	44681.17	3426	6885.4	9567.06	12654.04	8363.71	11777.47	14502.76	5719.01	4753.56	6183.17	5537.82	0.33	1938.01	1865.32	384.33	1054.09	2022.54	1717	1427.03	1376.34	1156.97	1698.07	2937.01	22292.34	17004.16	2885.83	3815	6615.83	1611.69	1785.34	1811.25	5744.1	1925.87	2417.67	407.17	409.52	161719.28	7006.67	6344.35	27231.98	10622.43	1970.62	2157.32	1302.01	1478.83	12627.16	1816.83	9301.92	1359.09	16909.74	756.51	9310.67	9508.04	708.28	4401.5	932.97	14486.65	987.84	4118.18	7520.22	6156.81	11107.82	5691.68	25889.21	3285.16	464.83	14513.08	19426.49	1016.16	211.83	1262.17
Herpes simplex virus 1 infection	1134.5	12474.25	1961.39	26834.4	40484.68	2042	4278	5240.5	14446.63	19752.41	18010.15	41899.89	25368.03	29999.74	46114.5	2125.41	29896	12457.85	17829.34	21168	7277.57	14834.83	71.25	129.34	23	964.59	142	309.84	1073	73	86	288.82	9	1148.09	689.5	437	888.25	6278.26	627.5	189	484	557	51	953	803	2293.41	4404.83	350	372	415	28.1	80395	219.5	909	208	281	464.5	551.5	362.78	262	6904	124.01	151	229	155.2	960	326	250	887	816.5	196	310	476.75	5025.5	40.5	3483.84	95.34	166	102	51	2716	384	523	73	738	313
HIF-1 signaling pathway	7430.73	14510.96	9995.95	20539.09	35291.5	6221.26	4237.25	9728.29	26893.66	21388.02	15693.25	24508.5	20213	13477.4	7072.57	8345.01	14171.05	13272.48	18950.43	16080.05	13840.3	17659.13	8714.01	47985.58	8946.17	63710.28	2690.28	66110.33	119533.5	23976.08	20275.5	136220.47	35030.99	35088.69	48367.84	38629.67	30467.41	26260.83	23276.9	49039.5	12048.17	17460.01	8103.83	7251.85	12530	10226.9	25147.5	26535.99	25959.33	26410.31	947.7	3341.46	9365.71	12738.38	28699.68	91544.58	2926.64	15673	3075.68	6188.5	19185.49	5435.84	10879.25	2674.96	19832.14	19103.82	15001.34	5424.16	4187.26	6940.84	2577.83	19876.01	9599.24	11498.42	8045.72	1790.15	21461.18	27201.64	27641.88	6333.51	538.82	1198.23	9936.53	5588.49	1581.83	103644.81
Hippo signaling pathway	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0
Hippo signaling pathway - fly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Histidine metabolism	47364.11	539598.52	568659.73	692407.84	548866.02	479966.18	135439.11	523240.01	505459.91	591302.15	398477.25	701166.02	478642.65	701757.41	673310.01	311723.02	656502.98	332289.18	497278.71	700944.41	439499.83	388386.16	107494.6	263056.8	154185.64	354259.15	21894.32	354555.67	658508.66	64541.87	146819.65	622700.01	187779.96	192033.5	230802.47	201883.65	183621.99	223220.03	434058.01	424212.4	91058.42	176048.14	129330.43	63310.13	94145.44	104809.75	240579.02	151211.97	148228.46	139934.4	7975.28	1556926.71	137325.41	142766.13	518684.32	588552.53	79956.04	102313.38	35726.99	45892.58	290465.98	47992.66	171701.03	100275.86	292705.98	109560.01	147180.59	51948.93	32776.53	88638.2	70397.22	284626.29	66649.71	133309.64	117008.12	77455.95	228896.55	201445.23	464951.99	88830.56	46280.27	106780.09	220039.6	37609	15511.56	564656.6
