sample ID	[Eubacterium]	[Prevotella]	[Ruminococcus]	Abiotrophia	Achromobacter	Acidovorax	Acinetobacter	Actinobacillus	Actinobaculum	Actinomyces	Aerococcus	Aeromonas	Aggregatibacter	Agrobacterium	Akkermansia	Alcaligenes	Alistipes	Allobaculum	Alloiococcus	Anaerococcus	Anaerolinea	Anaerotruncus	Aquabacterium	Arcobacter	Arthrobacter	Atopobium	Bacillus	Bacteroides	Bifidobacterium	Blautia	Brevibacterium	Brevundimonas	Bulleidia	Burkholderia	Butyricimonas	Caldicoprobacter	Campylobacter	Candidatus Solibacter	Candidatus Xiphinematobacter	CandidatusArthromitus	Capnocytophaga	Carnobacterium	Cellvibrio	Cetobacterium	Chitinophaga	Chryseobacterium	Cloacibacterium	Clostridium	Comamonas	Coprococcus	Corynebacterium	Cupriavidus	Cystobacter	DA101	Deinococcus	Delftia	Dermabacter	Desulfovibrio	Devosia	Dialister	Dok59	Dokdonella	Dorea	Dyadobacter	E6	Enhydrobacter	Enterobacter	Enterococcus	Exiguobacterium	Faecalibacterium	Filifactor	Finegoldia	Flavobacterium	Flexispira	Fusobacterium	Gemmiger	Geobacillus	Geobacter	Granulicatella	HA73	Haemophilus	Helicobacter	Hyphomicrobium	Kaistobacter	Kosmotoga	Lachnoanaerobaculum	Lachnospira	Lactobacillus	Lactococcus	Lautropia	Leptotrichia	Lysobacter	Massilia	Megamonas	Megasphaera	Mesorhizobium	Methanobacterium	Methanosaeta	Methylobacterium	Microbacterium	Micrococcus	Moraxella	Mucispirillum	Mycobacterium	Mycoplasma	Neisseria	Nitrosomonas	Nitrospira	Nocardioides	Ochrobactrum	Odoribacter	Oleibacter	Olsenella	Oscillospira	Paenibacillus	Paludibacter	Parabacteroides	Paracoccus	Parvimonas	PD-UASB-13	Pediococcus	Pelomonas	Peptococcus	Peptoniphilus	Peptostreptococcus	Petrimonas	Phascolarctobacterium	Phyllobacterium	Porphyromonas	Prevotella	Propionibacterium	Propionicimonas	Proteiniclasticum	Pseudomonas	Pseudoxanthomonas	Ralstonia	Rhodococcus	Rhodoplanes	Roseburia	Roseococcus	Roseomonas	Rothia	Rubrivivax	Rubrobacter	Ruegeria	Ruminococcus	Schwartzia	Sedimentibacter	Selenomonas	Serratia	SHD-231	Shewanella	Sphingobacterium	Sphingobium	Sphingomonas	Sporanaerobacter	Staphylococcus	Stenotrophomonas	Streptococcus	Sutterella	Syntrophobacter	Syntrophomonas	T78	Tannerella	Thermomonas	Thioalkalimicrobium	Treponema	Turicibacter	vadinHB04	Veillonella	Weissella	Zoogloea	Group
SY11	0	0	0	0	0	0	0.000491212749699814	0	0.00807772077284139	0.000436633555288724	0	0	0	0.000873267110577448	0	0	0	0	0.00283811810937671	0.0291998690099334	0	0	0	0	0	0	0	0	0	0	0	0.000436633555288724	0	0.00496670669140923	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000272895972055452	0	0	0.740857984936142	0	0.00109158388822181	0	0	0	0.0040388603864207	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000163737583233271	0.0100425717716407	0	0	0.000218316777644362	0	0	0	0	0	0.000818687916166357	0	0	0	0	0	0	0	0	0.000272895972055452	0.000163737583233271	0	0	0	0	0	0	0	0	0	0.0011461630826329	0.000982425499399629	0	0	0	0.00163737583233271	0	0	0	0	0	0	0	0	0	0	0	0	0.000218316777644362	0	0	0	0	0.00714987446785285	0	0	0	0	0	0	0.0273441763999563	0	0	0.000218316777644362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000109158388822181	0.000818687916166357	0	0	0	0	0	0	0.143870756467635	0	0.00884182949459666	0	0	0	0	0	0	0	0	0	0	0	0	0	Batch3
SY12	0	0	0	0	0.00012689550155447	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11633145105006	0.00371169342046824	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000412410380052027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.844267495717277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00209377577564875	0	0	0	0	0	0	0	0	0.0032675591650276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.51716261658524e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000824820760104054	0	0	0	0	0.00038068650466341	0	0	0	0	0.000729649133938202	0	0.0137998857940486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00117378338937885	0	0	0	0	0	0	0.00745511071632511	0	0.0052661633145105	0	0	0	0	0	0	0	0	0	0	0	0	0	Batch3
SY13	0	0	0	0	0	0	1.26033474490825e-05	0	0	0	0	0	0	5.04133897963299e-05	0	0	0	0	0.00465063520871143	0.00010082677959266	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000466323855616052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02445049405122	0	0	0	3.78100423472474e-05	0	0	0	0	5.04133897963299e-05	0	0	0	0	0	0	0	0	0	0	0.000226860254083485	0.000365497076023392	0	0	0	0	0	0	0	0	0.00110909457551926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000264670296430732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000315083686227062	0.000352893728574309	0.00161322847348256	0	0	0.000264670296430732	0	0	0	0	0	0	0	5.04133897963299e-05	0	0	0	0	0	0	0	0.000882234321435773	0	0	0	0	0	0	0.00554547287759629	0	0.95906432748538	0	0	0	0	0	0	0	0	0	0	0	0	0	Batch3
SY14	0	0	0	0	0	0	0.000538444970923972	0	0	0	0	0	0	3.58963313949314e-05	0	0	0	0	0.318813267284084	0.00244095053485534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.644967334338431	0	0	0	0.000107688994184794	0	7.17926627898629e-05	0	0	0	0	0	0	0	0	3.58963313949314e-05	0	0	0	0	0.000305118816856917	0	0	0	0	0	7.17926627898629e-05	0	0	0	0.000933304616268217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000682030296503697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00100509727905808	0	0	0	0	0.0012025271017302	7.17926627898629e-05	0	0	0	0.000592289468016369	0.000448704142436643	0.00147174958719219	0	0	0	0	0	0	0	0	0	0	0.000107688994184794	0	0	0	0	0	0	0	0.00105894177615048	0	0	0	0	0	0	0.0161533491277191	0	0.00832794888362409	0	0	0	0	0	0	0	0	0	0	0	0	0	Batch3
SY15	0	0	0	0	0	0	9.1977281611442e-05	0	0	4.5988640805721e-05	0	0	0	0	0	0	0	0	0.0018625399526317	0.00124169330175447	0	0	0	0	0	0	0	0	0	0	0	2.29943204028605e-05	0	9.1977281611442e-05	0	0	0.00423095495412633	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00289728437076042	0	0	0	0	0	0	0	0	0.00861137299087126	0	0	0	0	0	0	0	0	0	0	0.0167398652532824	0.000896778495711559	0	0	9.1977281611442e-05	0	0	0	0	0	0.0011037273793373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.200935868840396	0	0	3.44914806042907e-05	0	0.00045988640805721	0	0	0	0	0.481880475522546	0.162949251534871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000264434684632896	0.0012531904619559	0	0	0	0	2.29943204028605e-05	0	0.00382855434707627	0	0.109498953758422	0	0	0	0	0	0	0	0.000862287015107269	0	0	0	0	0	Batch3
SY16	0	0.00113269147483093	0	0	0.000133257820568345	0	0.000166572275710431	0.0113269147483093	0	0	0	0	0.000199886730852517	0	0	0	0	0	0.00436419362361329	0.00223206849451977	0	0	0	0	0.000166572275710431	0	0.000299830096278775	0	0	0	0.00103274810940467	0	0	0	0	0	0.000299830096278775	0	0	0	0	0	0	0	0	0	0	0	0	0	0.502381983542659	0	0	0	9.99433654262585e-05	0	0	0	0	0.000199886730852517	0	0	0	0	0	0	0.00043308791684712	0	0	0	0	0.00812872705466902	0	0	0.00103274810940467	0	0	0	0.000966119199120498	0	0.243128893626945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000333144551420862	0	0	0.0086617583369424	0	0	0.000233201185994603	0.00163240830196222	0	0	0	0	0	0	0	0	0	0	0	0	0.00319818769364027	0	0	0	0	0.00666289102841723	0.000233201185994603	0	0	0	0.00373121897591365	0.00253189859079855	0.00496385381617084	0	0	0	0	0	0	0	0	0	0	0.00436419362361329	0	0	0	0	0	0	0	0.00706266449012226	0	0	0	0	0	0	0.120531698704068	0	0.0545690775227371	0	0	0	0	0	0	0	0	0	0	0.00103274810940467	0	0	Batch3
SY17	0	0.011748403422099	0	0	0.000722978672129172	0	0	0.000481985781419448	0	0.00976021207374382	0	0	0.00481985781419448	0.000240992890709724	0	0	0	0	0	0.00403663091938788	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00210868779371009	0	0	0.0095192191830341	0	0	0	0.00542234004096879	0	0	0	0	0	0	0	0	0	0.341908663694421	0	0	0	0	0	0	0	0	0.000421737558742017	0	0	0	0	0	0	0	0	0	0	0.00295216291119412	0.00469936136883962	0	0	0.020966381491746	0	0	0	0.00578382937703338	0	0.0175924810218099	0	0	0	0	0.00138570912158091	0	0	0	0.00259067357512953	0.000120496445354862	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00259067357512953	0.0191589348114231	0	0	0	0	0	0	0	0	0	0	0	0	0.00451861670080733	0	0	0	0	0.000361489336064586	0.00439812025545246	0	0	0	0.0179539703578744	0.0256657428605856	0.0177129774671647	0	0	0.00060248222677431	0	0	0	0	0	0	0	0.0179539703578744	0	0	0	0	0	0	0.00198819134835522	0	0	0	0	0	0	0	0.0847692493071454	0.000240992890709724	0.331184480057838	0	0	0	0	0	0	0	0.00367514158332329	0	0	0.00445836847812989	0	0	Batch3
SY18	0	0	0	0	0.00737629341256019	0	0.00737629341256019	0	0	0.00174162483352116	0	0	0	0.00297100706894785	0	0	0	0	0.000409794078475566	0.00901546972646245	0	0	0	0	0	0	0.00317590410818564	0.00204897039237783	0	0	0	0.0035856981866612	0	0.014137895707407	0	0	0	0	0	0	0.000819588156951132	0	0	0	0	0.00163917631390226	0	0.00256121299047229	0	0.00174162483352116	0.45374449339207	0	0.00317590410818564	0	0.00389304374551788	0	0	0	0	0.00327835262780453	0	0	0	0	0	0.00379059522589899	0	0	0	0	0	0.0321688351603319	0	0	0.00194652187275894	0	0	0	0	0	0.00389304374551788	0	0	0	0	0	0	0	0	0	0.00143427927466448	0	0.00512242598094458	0.00276611002971007	0	0	0	0	0.000717139637332241	0	0.00338080114742342	0.00747874193217908	0	0	0	0.00286855854932896	0	0	0	0	0	0	0	0	0	0	0	0	0.0012293822354267	0	0	0	0	0.04343817231841	0	0	0	0	0.00276611002971007	0.00491752894170679	0.000307345558856675	0	0	0.00389304374551788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00194652187275894	0	0	0	0	0.00461018338285012	0	0.284909333060137	0	0.0096301608441758	0	0	0	0	0	0	0	0	0	0	0	0	0	Batch3
SY19	0	0.000625443022140683	0	0.00145936705166159	0.00150106325313764	0	0.00191802526789809	0	0.000125088604428137	0.00867280990701747	0	0	0	0.000833924029520911	0	0	0	0	0.00250177208856273	0	0	0	0	0	0.000416962014760455	0	0	0.000291873410332319	0	0	0	0	0	0.00550389859483801	0	0	0	0	0	0	0.00145936705166159	0	0	0	0	0	0	0	0	0	0.887670433223533	0	0.00037526581328441	0	0	0	0.000208481007380228	0	0	4.16962014760455e-05	0	0	0	0	0	0	0	0	0	0	8.33924029520911e-05	0	0	0	0.00212650627527832	0	0	0	0.00304382270775132	0	0.0028353417003711	0	0	0	0	0.000291873410332319	0	0	0	0.00333569611808364	0.00400283534170037	0	0	0	0	0	0	0	0	0	0.000959012633949047	0.00133427844723346	0	0	0	0.00120918984280532	0	0	0	0.000875620230996956	0	0	0	0	0	0	0	0	0.00108410123837718	0	0	0	0	0	0	0	0	0	0.00187632906642205	0.00200141767085019	0.0051286327815536	0	0	0	0	0	0	0	0	0	0	0.00391944293874828	0	0	0	0	0	0	0.00246007588708669	0.00116749364132927	0	0	0	0	0.00116749364132927	0	0.0241421006546304	0	0.0135512654797148	0	0	0	0	0	0	0	0	0	0	0.00654630363173915	0	0	Batch3
SY20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00681440871008841	0.00167947183506428	0	0	0	0	0	0	0	0	0	0	0	9.65213698312807e-05	0	0.000328172657426354	0	0	0.00167947183506428	0	0	0	0	0	0	0	0	3.86085479325123e-05	0	0	0	0	0.0140728157214007	0	0.000173738465696305	0	0.000173738465696305	0	0	0	0	0.000714258136751477	0	0	0	0	0	0	0.000193042739662561	0	0	0	0.00034747693139261	0.00137060345160419	0	0	0	0	0	0	0	0	0.000907300876414038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.65213698312807e-05	0.00212347013628817	0	0	0	0	0.00185321030076059	7.72170958650245e-05	0	0	0	0.000656345314852708	0.00324311802633103	0.00169877610903054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00129338635573916	0	0	0	0	0	0	0.00499980695726034	0	0.954885911740859	0	0	0	0	0	0	0	0	0	0	0	0	0	Batch3
